episode,time,node,node_capacity,used_resources
1,100.0,pop0,5,5.0
1,100.0,pop1,0,0.0
1,100.0,pop2,3,0.0
1,100.0,pop3,5,0.0
1,100.0,pop4,1,0.0
1,100.0,pop5,1,0.0
1,100.0,pop6,4,0.0
1,100.0,pop7,1,0.0
1,100.0,pop8,0,0.0
1,100.0,pop9,3,0.0
1,100.0,pop10,5,0.0
1,200.0,pop0,5,3.0
1,200.0,pop1,0,0.0
1,200.0,pop2,3,1.0
1,200.0,pop3,5,2.0
1,200.0,pop4,1,1.0
1,200.0,pop5,1,1.0
1,200.0,pop6,4,2.0
1,200.0,pop7,1,1.0
1,200.0,pop8,0,0.0
1,200.0,pop9,3,2.0
1,200.0,pop10,5,2.0
1,300.0,pop0,5,2.0
1,300.0,pop1,0,0.0
1,300.0,pop2,3,1.0
1,300.0,pop3,5,3.0
1,300.0,pop4,1,0.0
1,300.0,pop5,1,1.0
1,300.0,pop6,4,2.0
1,300.0,pop7,1,0.0
1,300.0,pop8,0,0.0
1,300.0,pop9,3,1.0
1,300.0,pop10,5,1.0
1,400.0,pop0,5,1.0
1,400.0,pop1,0,0.0
1,400.0,pop2,3,2.0
1,400.0,pop3,5,0.0
1,400.0,pop4,1,1.0
1,400.0,pop5,1,1.0
1,400.0,pop6,4,1.0
1,400.0,pop7,1,1.0
1,400.0,pop8,0,0.0
1,400.0,pop9,3,1.0
1,400.0,pop10,5,1.0
1,500.0,pop0,5,0.0
1,500.0,pop1,0,0.0
1,500.0,pop2,3,3.0
1,500.0,pop3,5,3.0
1,500.0,pop4,1,0.0
1,500.0,pop5,1,0.0
1,500.0,pop6,4,2.0
1,500.0,pop7,1,1.0
1,500.0,pop8,0,0.0
1,500.0,pop9,3,2.0
1,500.0,pop10,5,3.0
1,600.0,pop0,5,3.0
1,600.0,pop1,0,0.0
1,600.0,pop2,3,1.0
1,600.0,pop3,5,3.0
1,600.0,pop4,1,1.0
1,600.0,pop5,1,0.0
1,600.0,pop6,4,3.0
1,600.0,pop7,1,1.0
1,600.0,pop8,0,0.0
1,600.0,pop9,3,1.0
1,600.0,pop10,5,1.0
1,700.0,pop0,5,3.0
1,700.0,pop1,0,0.0
1,700.0,pop2,3,1.0
1,700.0,pop3,5,2.0
1,700.0,pop4,1,0.0
1,700.0,pop5,1,0.0
1,700.0,pop6,4,3.0
1,700.0,pop7,1,0.0
1,700.0,pop8,0,0.0
1,700.0,pop9,3,1.0
1,700.0,pop10,5,2.0
1,800.0,pop0,5,1.0
1,800.0,pop1,0,0.0
1,800.0,pop2,3,2.0
1,800.0,pop3,5,2.0
1,800.0,pop4,1,1.0
1,800.0,pop5,1,0.0
1,800.0,pop6,4,1.0
1,800.0,pop7,1,1.0
1,800.0,pop8,0,0.0
1,800.0,pop9,3,0.0
1,800.0,pop10,5,1.0
1,900.0,pop0,5,2.0
1,900.0,pop1,0,0.0
1,900.0,pop2,3,1.0
1,900.0,pop3,5,1.0
1,900.0,pop4,1,1.0
1,900.0,pop5,1,1.0
1,900.0,pop6,4,2.0
1,900.0,pop7,1,1.0
1,900.0,pop8,0,0.0
1,900.0,pop9,3,1.0
1,900.0,pop10,5,1.0
1,1000.0,pop0,5,2.0
1,1000.0,pop1,0,0.0
1,1000.0,pop2,3,1.0
1,1000.0,pop3,5,1.0
1,1000.0,pop4,1,0.0
1,1000.0,pop5,1,0.0
1,1000.0,pop6,4,1.0
1,1000.0,pop7,1,1.0
1,1000.0,pop8,0,0.0
1,1000.0,pop9,3,1.0
1,1000.0,pop10,5,1.0
1,1100.0,pop0,5,2.0
1,1100.0,pop1,0,0.0
1,1100.0,pop2,3,1.0
1,1100.0,pop3,5,2.0
1,1100.0,pop4,1,1.0
1,1100.0,pop5,1,0.0
1,1100.0,pop6,4,2.0
1,1100.0,pop7,1,1.0
1,1100.0,pop8,0,0.0
1,1100.0,pop9,3,1.0
1,1100.0,pop10,5,2.0
1,1200.0,pop0,5,3.0
1,1200.0,pop1,0,0.0
1,1200.0,pop2,3,2.0
1,1200.0,pop3,5,4.0
1,1200.0,pop4,1,0.0
1,1200.0,pop5,1,1.0
1,1200.0,pop6,4,1.0
1,1200.0,pop7,1,1.0
1,1200.0,pop8,0,0.0
1,1200.0,pop9,3,2.0
1,1200.0,pop10,5,2.0
1,1300.0,pop0,5,4.0
1,1300.0,pop1,0,0.0
