episode,time,origin_node,sfc,sf,schedule_node,schedule_prob
1,0,pop0,sfc_1,a,pop0,1
1,0,pop0,sfc_1,a,pop1,0
1,0,pop0,sfc_1,a,pop2,0
1,0,pop0,sfc_1,a,pop3,0
1,0,pop0,sfc_1,a,pop4,0
1,0,pop0,sfc_1,a,pop5,0
1,0,pop0,sfc_1,a,pop6,0
1,0,pop0,sfc_1,a,pop7,0
1,0,pop0,sfc_1,a,pop8,0
1,0,pop0,sfc_1,a,pop9,0
1,0,pop0,sfc_1,a,pop10,0
1,0,pop0,sfc_1,b,pop0,1
1,0,pop0,sfc_1,b,pop1,0
1,0,pop0,sfc_1,b,pop2,0
1,0,pop0,sfc_1,b,pop3,0
1,0,pop0,sfc_1,b,pop4,0
1,0,pop0,sfc_1,b,pop5,0
1,0,pop0,sfc_1,b,pop6,0
1,0,pop0,sfc_1,b,pop7,0
1,0,pop0,sfc_1,b,pop8,0
1,0,pop0,sfc_1,b,pop9,0
1,0,pop0,sfc_1,b,pop10,0
1,0,pop0,sfc_1,c,pop0,1
1,0,pop0,sfc_1,c,pop1,0
1,0,pop0,sfc_1,c,pop2,0
1,0,pop0,sfc_1,c,pop3,0
1,0,pop0,sfc_1,c,pop4,0
1,0,pop0,sfc_1,c,pop5,0
1,0,pop0,sfc_1,c,pop6,0
1,0,pop0,sfc_1,c,pop7,0
1,0,pop0,sfc_1,c,pop8,0
1,0,pop0,sfc_1,c,pop9,0
1,0,pop0,sfc_1,c,pop10,0
1,0,pop1,sfc_1,a,pop0,0.10000000000000023
1,0,pop1,sfc_1,a,pop1,0.09
1,0,pop1,sfc_1,a,pop2,0.09
1,0,pop1,sfc_1,a,pop3,0.09
1,0,pop1,sfc_1,a,pop4,0.09
1,0,pop1,sfc_1,a,pop5,0.09
1,0,pop1,sfc_1,a,pop6,0.09
1,0,pop1,sfc_1,a,pop7,0.09
1,0,pop1,sfc_1,a,pop8,0.09
1,0,pop1,sfc_1,a,pop9,0.09
1,0,pop1,sfc_1,a,pop10,0.09
1,0,pop1,sfc_1,b,pop0,0.10000000000000023
1,0,pop1,sfc_1,b,pop1,0.09
1,0,pop1,sfc_1,b,pop2,0.09
1,0,pop1,sfc_1,b,pop3,0.09
1,0,pop1,sfc_1,b,pop4,0.09
1,0,pop1,sfc_1,b,pop5,0.09
1,0,pop1,sfc_1,b,pop6,0.09
1,0,pop1,sfc_1,b,pop7,0.09
1,0,pop1,sfc_1,b,pop8,0.09
1,0,pop1,sfc_1,b,pop9,0.09
1,0,pop1,sfc_1,b,pop10,0.09
1,0,pop1,sfc_1,c,pop0,0.10000000000000023
1,0,pop1,sfc_1,c,pop1,0.09
1,0,pop1,sfc_1,c,pop2,0.09
1,0,pop1,sfc_1,c,pop3,0.09
1,0,pop1,sfc_1,c,pop4,0.09
1,0,pop1,sfc_1,c,pop5,0.09
1,0,pop1,sfc_1,c,pop6,0.09
1,0,pop1,sfc_1,c,pop7,0.09
1,0,pop1,sfc_1,c,pop8,0.09
1,0,pop1,sfc_1,c,pop9,0.09
1,0,pop1,sfc_1,c,pop10,0.09
1,0,pop2,sfc_1,a,pop0,0.10000000000000023
1,0,pop2,sfc_1,a,pop1,0.09
1,0,pop2,sfc_1,a,pop2,0.09
1,0,pop2,sfc_1,a,pop3,0.09
1,0,pop2,sfc_1,a,pop4,0.09
1,0,pop2,sfc_1,a,pop5,0.09
1,0,pop2,sfc_1,a,pop6,0.09
1,0,pop2,sfc_1,a,pop7,0.09
1,0,pop2,sfc_1,a,pop8,0.09
1,0,pop2,sfc_1,a,pop9,0.09
1,0,pop2,sfc_1,a,pop10,0.09
1,0,pop2,sfc_1,b,pop0,0.10000000000000023
1,0,pop2,sfc_1,b,pop1,0.09
1,0,pop2,sfc_1,b,pop2,0.09
1,0,pop2,sfc_1,b,pop3,0.09
1,0,pop2,sfc_1,b,pop4,0.09
1,0,pop2,sfc_1,b,pop5,0.09
1,0,pop2,sfc_1,b,pop6,0.09
1,0,pop2,sfc_1,b,pop7,0.09
1,0,pop2,sfc_1,b,pop8,0.09
1,0,pop2,sfc_1,b,pop9,0.09
1,0,pop2,sfc_1,b,pop10,0.09
1,0,pop2,sfc_1,c,pop0,0.10000000000000023
1,0,pop2,sfc_1,c,pop1,0.09
1,0,pop2,sfc_1,c,pop2,0.09
1,0,pop2,sfc_1,c,pop3,0.09
1,0,pop2,sfc_1,c,pop4,0.09
1,0,pop2,sfc_1,c,pop5,0.09
1,0,pop2,sfc_1,c,pop6,0.09
1,0,pop2,sfc_1,c,pop7,0.09
1,0,pop2,sfc_1,c,pop8,0.09
1,0,pop2,sfc_1,c,pop9,0.09
1,0,pop2,sfc_1,c,pop10,0.09
1,0,pop3,sfc_1,a,pop0,0.10000000000000023
1,0,pop3,sfc_1,a,pop1,0.09
1,0,pop3,sfc_1,a,pop2,0.09
1,0,pop3,sfc_1,a,pop3,0.09
1,0,pop3,sfc_1,a,pop4,0.09
1,0,pop3,sfc_1,a,pop5,0.09
1,0,pop3,sfc_1,a,pop6,0.09
1,0,pop3,sfc_1,a,pop7,0.09
1,0,pop3,sfc_1,a,pop8,0.09
